,0,1,2
17,1219520571379212291,2020-01-21 07:22:16,#Huurprijsstijging #vrijesector koelt af. De landelijke #prijsstijging van vrije sector #huurwoningen bleef heel 20… https://t.co/DRG8uYNzJ9
18,1219243848091799553,2020-01-20 13:02:40,"@jsjo Hello John, sorry for this late reply.  There were some load balancing problems during the time you were visi… https://t.co/ZNYxZ1x8ic"
19,1202482401114492929,2019-12-05 06:58:40,#Huurprijsontwikkeling #Noord-Brabant. Nieuwe #huurders betaalden in de eerste helft van 2019 per #vierkantemeter p… https://t.co/UCYCyxkEPd
20,1192061894884036608,2019-11-06 12:51:17,"@Marjon1990 Beste Marjon,
Kun je hierover contact opnemen met onze klantenservice, zodat zij je verder kunnen helpe… https://t.co/iWrcgY3ALD"
21,1184416028085964802,2019-10-16 10:29:21,"RT @Vastgoedactueel: Gematigde stijging #huurprijzen vrije sector in kw3 2019, volgens Huurmonitor @Pararius 
https://t.co/0ZB1i5j6bC https…"
22,1184389383119687680,2019-10-16 08:43:28,RT @vastgoedmarktnl: Gaat het nu echt zo hard met de huurprijzen? Volgens @Pararius niet. https://t.co/PBunXy50gB
23,1184359922349334529,2019-10-16 06:46:24,"#Huurprijsstijging #vrije #sector blijft gematigd. De landelijke #vierkantemeterprijs van huurwoningen steeg met 3,… https://t.co/Pzed5fl9IT"
24,1178608299840815104,2019-09-30 09:51:30,"@Rob0860 Beste Rob,
Wij adviseren de makelaars, die woningen op onze platform plaatsen, altijd te reageren richting… https://t.co/srzRrMT4RK"
25,1177108095010574342,2019-09-26 06:30:14,#Pararius en #Nieuwbouw #Nederland bundelen hun krachten door middel van een koppeling tussen beide platforms. Proj… https://t.co/KnZAk5hVAn
26,1176373063350439937,2019-09-24 05:49:28,RT @multiscope: Beste @funda @eigenhuis @jaapnl @Huislijnbv @Pararius @vbomakelaar @kamernet @esteonnl @directwonen @vesteda_wonen Jullie z…
27,1156445252171046915,2019-07-31 06:03:28,Grote #huurprijsverschillen binnen #Rotterdam in de #vrije #sector. Nieuwe #huurders betaalden in de eerste helft v… https://t.co/jeKnkrWK0D
28,1151371974071005184,2019-07-17 06:04:04,Kleinste #landelijke #huurprijsstijging sinds 2015. De gemiddelde #landelijke #huurprijsstijging is in Q2 2019 verd… https://t.co/KZLh8iyaPf
29,1145686801417428993,2019-07-01 13:33:13,@lgbtlgbtlgbtlg1 @TransNetNL Dank je wel voor het Genderdoeboek. Wij staan natuurlijk open voor aanpassingen in onz… https://t.co/VaVHdSvH0a
